1905-01-02	The Ancona Court
1905-01-02	The Nile Cold Storage Company, Ltd.,
1905-01-02	Embezzlement at G. P.-O
1905-01-02	Fatal Accident
1905-01-02	A. L. M. & D. S
1905-01-02	Cotton in Cyprus
1905-01-02	Suez Canal
1905-01-02	Motor Accident
1905-01-02	“The Cyprus Journal’’
1905-01-02	Coal Imports
1905-01-02	Gymkhana
1905-01-03	Post Office
1905-01-03	The Maltese Benevolent Society
1905-01-03	The Khedivial Yacht "Mahroussa"
1905-01-03	Suez Canal
1905-01-03	Merchant Seamen’s Home.
1905-01-03	New Year's Gifts.
1905-01-03	Restriction or Street Traffic in Cairo
1905-01-03	Sailors and Soldiers' Institute
1905-01-03	Amateur Theatricals.
1905-01-04	Cairo Water Company
1905-01-04	The French Gunboat “Raoce”
1905-01-04	Judge Assessors
1905-01-04	Accession Day
1905-01-04	Cairo Dogs
1905-01-04	Another Record Cargo
1905-01-04	Zizinia Theatre
1905-01-04	Fire at Alexandria
1905-01-04	Shepheard’s
1905-01-04	Church Services
1905-01-04	Double Murder for- P.T. 50
1905-01-04	St. Joseph’s Home,
1905-01-04	The Egyptian Slave Trade
1905-01-05	Bubonic Plaque
1905-01-05	Business Notice
1905-01-05	The
1905-01-05	The British Turbine Yacht “Emerald,''
1905-01-05	Motor Transport Company
1905-01-05	The Italian Consulate
1905-01-05	Verdi Theatre, Cairo
1905-01-05	Siemens-Schuckert-Werke
1905-01-05	Fatal Collapse of a Roof
1905-01-05	Children's Savings Bank
1905-01-06	General Holiday
1905-01-06	Quarantine restrictions
1905-01-06	Alhambra
1905-01-06	The Abousir Papyrus
1905-01-06	Royal Artillery Gun Practice
1905-01-06	British Chamber of Commerce
1905-01-07	The Asphalting of Clot Bey-street
1905-01-07	The Brindisi Mail
1905-01-07	The Opera Season
1905-01-07	Novelli
1905-01-07	Austro-Hungarian Benevolent Society
1905-01-07	New Markaz Courts
1905-01-07	Suez Canal
1905-01-07	Cairo Customs
1905-01-07	Discoveries at Sakhara
1905-01-07	Alhambra Theatre
1905-01-07	Cairo British Consulate
1905-01-07	Tourist Developments
1905-01-07	Mr. Bensilum's Suicide
1905-01-09	THE S.Y. “Argonaut”
1905-01-09	Bubonio Plague
1905-01-09	The Reunion des Familles Society
1905-01-09	New Doctors
1905-01-09	The North German Lloyd’s S.S. “Schleswig”
1905-01-09	Coal Imports
1905-01-09	H.M. Transport “Soudan”
1905-01-23	Salt and Soda Co
1905-01-23	Arrest of Young Turk
1905-01-23	Abbas Helmy Theatre
1905-01-23	Suez Canal
1905-01-23	Alhambra Theatre
1905-01-24	Wife Murder
1905-01-24	A Fatal Accident
1905-01-24	The Norddeutscher Lloyd S.S. “Schleswig,”
1905-01-24	Suez Canal
1905-01-24	Fire at Telephone Office
1905-01-24	Prize Distribution
1905-01-24	Abbas Helmy Theatre
1905-01-24	Cairo Scientific Society
1905-01-24	Cercle Khédivial, Alexandria
1905-01-24	All Saints’ Church, Ramleh
1905-01-27	Fire
1905-01-27	Suez Canal
1905-01-27	Temperance
1905-01-27	The Royal Visit
1905-01-27	Shepheard’s
1905-01-27	A Local Publication
1905-01-27	Abbas Helmy Theatre
1905-01-28	For the Unemployed
1905-01-28	At Mena House
1905-01-28	Automobilism in Egypt
1905-01-28	The Royal Visit
1905-01-28	Italian Consulates
1905-01-28	“In Memoriam.”
1905-01-28	The Hedjaz Railway
1905-01-28	Sporting Cairo
1905-01-28	Amateur Theatricals
1905-01-30	Erratum
1905-01-30	State Railways
1905-01-30	Coal Imports
1905-01-30	Suez Canal
1905-01-30	Concert
1905-01-30	Armenian Benevolent Society
1905-01-30	Alhambra Theatre
1905-01-30	H. M. Transport "Sicilia”
1905-01-30	"The Pirates of Penzance."
1905-01-31	Gambling Den Raided
1905-01-31	New Doctors
1905-01-31	Khedivial Opera House
1905-01-31	Savot Small Dances
1905-01-31	Alexandria Sporting Club
